City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Acapulco de Juárez,MX,scattered clouds,82.4,16.86,-99.89,HS Hotsson Smart Acapulco
2,Geraldton,AU,moderate rain,59.0,-28.77,114.6,Broadwater Mariner Resort
3,Marsá Maţrūḩ,EG,scattered clouds,64.4,31.35,27.25,Beau Site
5,Arraial do Cabo,BR,scattered clouds,70.77,-22.97,-42.03,Pousada Porto Praia
6,Airai,TL,clear sky,79.3,-8.93,125.41,Juvinal Martin
8,Hobart,AU,shower rain,68.0,-42.88,147.33,St Ives Hobart Accommodation Tasmania
9,Santa Catalina,PH,broken clouds,87.8,9.33,122.86,Don Pacondo
10,Fukuechō,JP,scattered clouds,71.6,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
13,Hereford,GB,overcast clouds,52.0,52.06,-2.71,The Green Dragon Hotel
14,Ninghai,CN,broken clouds,78.01,29.29,121.42,Kaiyuan New Century Hotel
15,Carutapera,BR,clear sky,77.54,-1.2,-46.02,Lidera
17,Cabedelo,BR,few clouds,78.8,-6.98,-34.83,Lua Mansa Pousada
18,Saint George,US,clear sky,66.2,37.1,-113.58,Best Western Plus Abbey Inn
19,Roebourne,AU,clear sky,89.37,-20.78,117.13,Harding River Caravan Park
24,Olinda,BR,broken clouds,80.6,-8.01,-34.86,Hotel 5 Sóis
25,San Quintín,MX,scattered clouds,65.08,30.48,-115.95,Old Mill Hotel
26,Bluff,NZ,light rain,55.0,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
29,Mercedes,AR,clear sky,57.0,-34.65,-59.43,Posada del Inti Centro
30,Katsuura,JP,broken clouds,66.0,35.13,140.3,Katsuura Hotel Mikazuki
33,Mataura,NZ,light rain,55.0,-46.19,168.86,Ellie's Villa
34,Atuona,PF,clear sky,78.55,-9.8,-139.03,Villa Enata
35,Rikitea,PF,clear sky,76.1,-23.12,-134.97,Pension Maro'i
36,Yanam,IN,haze,80.6,16.73,82.22,The Regency Hotel
38,Lagoa,PT,overcast clouds,68.45,39.05,-27.98,Casa Das Faias
40,Hong Kong,HK,clear sky,77.0,22.29,114.16,Mini Hotel Central
42,Talant,FR,clear sky,51.01,47.34,5.01,Hôtel Restaurant Campanile Dijon Gare
43,Busselton,AU,overcast clouds,57.99,-33.65,115.33,Observatory Guest House
44,Sibolga,ID,light rain,83.77,1.74,98.78,Hotel Syariah CN Darussalam
45,Nkhata Bay,MW,few clouds,72.0,-11.61,34.29,Mayoka Village
49,New Norfolk,AU,overcast clouds,68.0,-42.78,147.06,The Shingles Riverside Cottages
50,Bubaque,GW,scattered clouds,83.5,11.28,-15.83,"Casa Dora, Bubaque"
52,Hermanus,ZA,clear sky,55.0,-34.42,19.23,Misty Waves Boutique Hotel
54,Dolinsk,RU,scattered clouds,51.8,47.35,142.8,"Gostinitsa ""Yubileynaya"""
55,Tombouctou,ML,overcast clouds,80.44,20.0,-3.0,
58,Port Blair,IN,few clouds,83.23,11.67,92.75,Fortune Resort Bay Island
59,Calabozo,VE,overcast clouds,77.34,8.92,-67.43,Hotel Giardini
60,Kapaa,US,overcast clouds,80.6,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
61,Puerto Ayora,EC,overcast clouds,69.01,-0.74,-90.35,Finch Bay Galapagos Hotel
64,Souillac,MU,shower rain,68.0,-20.52,57.52,Bils' Villa
67,Vaini,TO,broken clouds,78.8,-21.2,-175.2,Keleti Beach Resort
68,Lebu,CL,scattered clouds,51.04,-37.62,-73.65,Hostal Las Lilas
69,Kieta,PG,light rain,85.23,-6.22,155.63,
70,Ondjiva,AO,scattered clouds,72.81,-17.07,15.73,SOS Motel
71,Bambous Virieux,MU,shower rain,71.01,-20.34,57.76,Casa Tia Villa
75,Avera,US,overcast clouds,59.0,33.19,-82.53,
76,Saint-Philippe,RE,overcast clouds,66.0,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
77,Seoul,KR,light rain,57.2,37.57,126.98,LOTTE HOTEL SEOUL
80,Madimba,TZ,broken clouds,73.4,-10.4,40.33,
81,Khorramshahr,IR,clear sky,60.8,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
82,Itarema,BR,broken clouds,78.64,-2.92,-39.92,Windvillage
83,East London,ZA,light rain,64.35,-33.02,27.91,Tu Casa
84,Sinnamary,GF,broken clouds,79.86,5.38,-52.95,ALETHEIA Appartement Sinnamary
85,San Patricio,US,clear sky,66.0,28.02,-97.52,"Motel 6 Sinton, TX"
87,Barra de Tecoanapa,MX,clear sky,79.99,16.52,-98.75,Hotel Manglares
89,Zhangaözen,KZ,few clouds,50.83,43.3,52.8,K.korabay 28A
91,Margate,GB,overcast clouds,54.0,51.38,1.39,Premier Inn Margate hotel
92,Ponta do Sol,PT,few clouds,72.0,32.67,-17.1,Hotel do Campo
95,Dali,CN,broken clouds,61.95,25.7,100.18,Dali Travelling With Hostel
96,Hithadhoo,MV,light rain,83.88,-0.6,73.08,Scoop Guest House
97,Cape Town,ZA,clear sky,59.0,-33.93,18.42,Southern Sun Waterfront Cape Town
98,Arlit,NE,clear sky,72.95,18.74,7.39,Hôtel Telwa Bungalow
99,Conde,BR,few clouds,78.8,-7.26,-34.91,Pousada Beija Flor
101,Punta Gorda,US,few clouds,75.99,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
103,West Plains,US,clear sky,51.8,36.73,-91.85,West Plains Motel
